DATE,DCOILBRENTEU
2020/5/28,33.98
2020/5/29,34.15
2020/6/1,36.74
2020/6/2,37.72
2020/6/3,37.98
2020/6/4,38.41
2020/6/5,41
2020/6/8,39.66
2020/6/9,40.45
2020/6/10,41.18
2020/6/11,37.76
2020/6/12,38.54
2020/6/15,39.44
2020/6/16,40.75
2020/6/17,40.47
2020/6/18,41.75
2020/6/19,42.33
2020/6/22,43.2
2020/6/23,42.72
2020/6/24,40.4
2020/6/25,41.18
2020/6/26,40.97
2020/6/29,41.58
2020/6/30,41.64
2020/7/1,42.18
2020/7/2,43.19
2020/7/3,42.92
2020/7/6,42.73
2020/7/7,43.28
2020/7/8,43.67
2020/7/9,42.35
2020/7/10,43.27
2020/7/13,42.85
2020/7/14,42.97
2020/7/15,43.96
2020/7/16,43.71
2020/7/17,43.53
2020/7/20,43.3
2020/7/21,44.31
2020/7/22,43.98
2020/7/23,42.96
2020/7/24,43.29
2020/7/27,43.39
2020/7/28,43.11
2020/7/29,43.51
2020/7/30,42.98
2020/7/31,43.13
2020/8/3,43.76
2020/8/4,43.99
2020/8/5,44.92
2020/8/6,45.04
2020/8/7,44.07
2020/8/10,44.19
2020/8/11,43.68
2020/8/12,45.09
2020/8/13,44.87
2020/8/14,44.86
2020/8/17,44.91
2020/8/18,45.34
2020/8/19,45.21
2020/8/20,44.56
2020/8/21,43.94
2020/8/24,44.43
2020/8/25,46.01
2020/8/26,45.79
2020/8/27,44.84
2020/8/28,45.22
2020/8/31,.
2020/9/1,45.72
2020/9/2,42.7
2020/9/3,42.72
2020/9/4,41.1
2020/9/7,40.67
2020/9/8,38.53
2020/9/9,39.98
2020/9/10,39.27
2020/9/11,38.8
2020/9/14,38.57
2020/9/15,39.54
2020/9/16,41.23
2020/9/17,42.35
2020/9/18,42.16
2020/9/21,40.37
2020/9/22,40.84
2020/9/23,41.09
2020/9/24,41.24
2020/9/25,40.91
2020/9/28,41.59
2020/9/29,40.33
2020/9/30,40.3
2020/10/1,39.75
2020/10/2,38
2020/10/5,39.78
2020/10/6,41.27
2020/10/7,40.62
2020/10/8,42
2020/10/9,41.63
2020/10/12,40.5
2020/10/13,41.34
2020/10/14,41.81
2020/10/15,41.61
2020/10/16,41.34
2020/10/19,41.29
2020/10/20,41.62
2020/10/21,40.09
2020/10/22,41.28
2020/10/23,40.71
2020/10/26,39.06
2020/10/27,39.72
2020/10/28,37.86
2020/10/29,36.56
2020/10/30,36.33
2020/11/2,37.78
2020/11/3,38.17
2020/11/4,39.68
2020/11/5,39.47
2020/11/6,38.08
2020/11/9,40.93
2020/11/10,42.25
2020/11/11,42.5
2020/11/12,42.16
2020/11/13,41.51
2020/11/16,42.71
2020/11/17,42.54
2020/11/18,42.91
2020/11/19,43.09
2020/11/20,43.79
2020/11/23,45
2020/11/24,46.63
2020/11/25,47.3
2020/11/26,46.32
2020/11/27,46.88
2020/11/30,46.84
2020/12/1,47.03
2020/12/2,47.8
2020/12/3,48.37
2020/12/4,49.1
2020/12/7,48.63
2020/12/8,48.84
2020/12/9,48.81
2020/12/10,50.33
2020/12/11,50.01
2020/12/14,50.27
2020/12/15,50.77
2020/12/16,50.83
2020/12/17,51.2
2020/12/18,52.17
2020/12/21,50.61
2020/12/22,49.88
2020/12/23,51.05
2020/12/24,50.88
2020/12/25,.
2020/12/28,50.88
2020/12/29,50.44
2020/12/30,50.74
2020/12/31,51.22
2021/1/1,.
2021/1/4,50.37
2021/1/5,53.16
2021/1/6,53.8
2021/1/7,53.7
2021/1/8,55.51
2021/1/11,54.84
2021/1/12,55.98
2021/1/13,55.52
2021/1/14,55.76
2021/1/15,54.8
2021/1/18,54.21
2021/1/19,55.38
2021/1/20,55.66
2021/1/21,55.68
2021/1/22,55.22
2021/1/25,55.44
2021/1/26,55.26
2021/1/27,55.07
2021/1/28,54.87
2021/1/29,55.25
2021/2/1,56.42
2021/2/2,57.62
2021/2/3,58.61
2021/2/4,58.98
2021/2/5,59.48
2021/2/8,60.17
2021/2/9,60.74
2021/2/10,61.17
2021/2/11,61.09
2021/2/12,62.47
2021/2/15,63.58
2021/2/16,63.96
2021/2/17,65.02
2021/2/18,64.09
2021/2/19,62.84
2021/2/22,64.73
2021/2/23,65.16
2021/2/24,66.85
2021/2/25,66.69
2021/2/26,65.86
2021/3/1,64.56
2021/3/2,63.17
2021/3/3,64.7
2021/3/4,67.32
2021/3/5,69.95
2021/3/8,68
2021/3/9,67.03
2021/3/10,67.53
2021/3/11,69.34
2021/3/12,68.87
2021/3/15,68.78
2021/3/16,67.95
2021/3/17,67.73
2021/3/18,62.11
2021/3/19,64
2021/3/22,63.89
2021/3/23,59.96
2021/3/24,63.7
2021/3/25,61.21
2021/3/26,63.77
2021/3/29,64.06
2021/3/30,63.28
2021/3/31,63.52
2021/4/1,63.85
2021/4/2,.
2021/4/5,.
2021/4/6,61.47
2021/4/7,61.86
2021/4/8,62.09
2021/4/9,61.89
2021/4/12,62.38
2021/4/13,62.83
2021/4/14,66.11
2021/4/15,66.13
2021/4/16,65.98
2021/4/19,66.54
2021/4/20,65.34
2021/4/21,64.02
2021/4/22,65.07
2021/4/23,65.75
2021/4/26,65.5
2021/4/27,66.25
2021/4/28,67.08
2021/4/29,68.26
2021/4/30,67.73
2021/5/3,.
2021/5/4,68.91
2021/5/5,69.71
2021/5/6,68.62
2021/5/7,68.73
2021/5/10,68.61
2021/5/11,68.83
2021/5/12,69.62
2021/5/13,67.36
2021/5/14,69.24
2021/5/17,69.62
2021/5/18,69.01
2021/5/19,66.88
2021/5/20,65.18
2021/5/21,66.72
2021/5/24,68.59
2021/5/25,68.8
2021/5/26,68.93
2021/5/27,69.43
2021/5/28,69.36
2021/5/31,.
2021/6/1,70.03
2021/6/2,70.6
2021/6/3,70.71
2021/6/4,71.3
2021/6/7,70.89
2021/6/8,71.39
2021/6/9,71.31
2021/6/10,71.65
2021/6/11,72.05
2021/6/14,72.27
2021/6/15,73.38
2021/6/16,73.88
2021/6/17,72.92
2021/6/18,73.1
2021/6/21,74.49
2021/6/22,74.92
2021/6/23,75.22
2021/6/24,75.95
2021/6/25,76.45
2021/6/28,74.78
2021/6/29,75.38
2021/6/30,76.94
2021/7/1,76.69
2021/7/2,77.51
2021/7/5,78.34
2021/7/6,75.81
2021/7/7,74.31
2021/7/8,75.07
2021/7/9,77.14
2021/7/12,76.77
2021/7/13,77.5
2021/7/14,75.74
2021/7/15,74.53
2021/7/16,74.46
2021/7/19,69.33
2021/7/20,70.03
2021/7/21,72.54
2021/7/22,74.25
2021/7/23,74.86
2021/7/26,74.79
2021/7/27,74.87
2021/7/28,75.09
2021/7/29,76.3
2021/7/30,77.72
2021/8/2,73.91
2021/8/3,73.24
2021/8/4,70.99
2021/8/5,72.14
2021/8/6,71.02
2021/8/9,69.65
2021/8/10,71.14
2021/8/11,71.99
2021/8/12,71.79
2021/8/13,70.9
2021/8/16,70.07
2021/8/17,69.4
2021/8/18,68.61
2021/8/19,66.8
2021/8/20,65.51
2021/8/23,69.07
2021/8/24,71.21
2021/8/25,72.12
2021/8/26,70.42
2021/8/27,72.26
2021/8/30,.
2021/8/31,73.45
2021/9/1,71.99
2021/9/2,73.56
2021/9/3,73.07
2021/9/6,72.43
2021/9/7,71.52
2021/9/8,72.36
2021/9/9,71.32
2021/9/10,72.44
2021/9/13,72.97
2021/9/14,73.05
2021/9/15,74.84
2021/9/16,75.14
2021/9/17,74.64
2021/9/20,73.59
2021/9/21,73.65
2021/9/22,75.5
2021/9/23,76.44
2021/9/24,77.42
2021/9/27,78.85
2021/9/28,78.3
2021/9/29,77.86
2021/9/30,77.81
2021/10/1,79.4
2021/10/4,81.44
2021/10/5,82.72
2021/10/6,81.39
2021/10/7,82.34
2021/10/8,82.17
2021/10/11,83.75
2021/10/12,83.53
2021/10/13,83.53
2021/10/14,83.86
2021/10/15,84.67
2021/10/18,84.13
2021/10/19,85.02
2021/10/20,85.76
2021/10/21,84.58
2021/10/22,85.43
2021/10/25,84.85
2021/10/26,85.11
2021/10/27,84.12
2021/10/28,83.4
2021/10/29,83.1
2021/11/1,84.51
2021/11/2,84.42
2021/11/3,81.1
2021/11/4,80.15
2021/11/5,82.43
2021/11/8,83.22
2021/11/9,84.52
2021/11/10,82.91
2021/11/11,83.4
2021/11/12,82.9
2021/11/15,81.94
